;Município de destino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Total;
;Arouca;;Espinho;;Santa Maria da Feira;;Oliveira de Azeméis;;São João da Madeira;;Vale de Cambra;;Gondomar;;Maia;;Matosinhos;;Paredes;;Porto;;Póvoa de Varzim;;Santo Tirso;;Valongo;;Vila do Conde;;Vila Nova de Gaia;;Trofa;;Outros;;;
;;x;;x;638;;416;§;;x;;x;151 895;;8 616;;9 556;;1 270;;33 505;;607;§;;x;10 815;;463;;9 032;;489;§;5 397;;233 062;
