time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,business construction,GDPGN,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN,gdp growth rate,business income multiplier,increase amount,average monthly income 90,average monthly income 20,average monthly income 50,income 90 multiplier,income 50 multiplier,average monthly income,income 20 multiplier,labor force income multiplier,IMI50,IMI90,IMI20,change to ticket cost,Public Transport Ticket Cost,TCI,Number of Bus Routes,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,increasing railway trips,increaing bus trips,ITRR,daily railway capacity,Daily railway trips,increasing railway lines,increasing bus routes,IRBR,number of trains,MAX CAPACITY RAILWAY,VEHICLES PER LINE,number of bus,VEHICLES PER ROUTE,MAX CAPACITY BUS,daily bus capacity,Daily bus trips,CAR COST KM,Road available,road construction,RCR,EMISSION PETROL CAR,car electricity co2 emission,railway electricity co2 emission,car petrol co2 emission,EMISSION DIESEL CAR,bus electricity co2 emission,EMISSION ELECTRICITY CAR,bus natural gas co2 emission,EMISSION NATURAL GAS BUS,car diesel co2 emissions,EMISSION DIESEL BUS,EMISSION ELECTRICITY BUS,bus diesel co2 emission,EMISSION ELECTRICITY RAILWAY,emissions of greenhouse gases mobility,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,railway activity per year,bus diesel activity,DIESEL PETROL RATIO,INITIAL RATIO CAR PETROL,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,bus activity per year,car activity per year,car diesel activity,car electricity activity,car petrol activity,emissions per year,CO2 CAPTURE PER GREEN AREA,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,co2 capture sea river,CO2 TECHNOLOGIES CAPTURE,emissions of greenhouse gases business,BODY OF WATER M2,GREEN AREA,EpB,Affordability of public transport for the poorest group,daily walk trips,daily chosen bus,daily chosen railway,daily chosen car,construction,Land Use for mobility,Motorization rate number of motorized vehicles per 1000 inhabitants,Railway Daily Occupancy rate,number of mototized private vehicles,Emissions of greenhouse gases,TPC,PRIVATE PARKING CONSTRUCTION,BUS Daily Occupancy rate,PEDESTRIAN SIDEWALK CONSTRUCTION,Mobility space usage
2013,2061,2011,1,1,1141.7205845763137,-0.040573006,80.78411443478956,168.60823116423524,3699.0581326847523,5357.921514647296,172049.21547370942,22814900.0,0.9999994515328807,1.10041741191258,0.02565,0.02758,0.0083,436.3414947205061,2.0,1.4067282624924469,15820.93889486969,0.00732,0.001076,0,0.8661101174498933,73572.5520036035,0.7991651761748398,0.0,1.2769130499697876,2.7,0.0283,36388.15945820029,2.3,119746.25396970175,3.29080271584652,0.31345652498489385,80,0.696,80,0.0215,-0.020286503,0.011129349622457787,-16.16397820939986,3298.6541167785576,509.6783339695527,756.1325598411,4.128826530612245,0.9489795918367347,796.7848480046,0.7219387755102041,-0.08227006789616301,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000.0,0.0,0.0,120,331.7057545432394,575.614125,74633.55981650217,140,180.07160010655502,42.828,7420.4182084678805,932,37857.60280547212,871,348.3,1621.10970225126,645,122620.0820123432,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.300422834136522,0.6909725185140005,0.69,0.01,0.008604647349477395,16.3,12.8,10340028.717,900102848.0000001,270411448.6105151,7745067.585300256,621946331.8041847,104558.11587180007,0.00113,67729.375,0.001,4731.8,9,54408.20885945686,4731800.0,59937500.0,3.439,0.0656296290632559,31550,30831,21393,192659,40.0,9080.0,487.33661689673926,1.78275,83764.78260869566,0.7127035230862799,2.3,20,0.1108731413617988,20,0.05277559665122391
2014,2061,2011,1,1,1193.7929301827621,-0.009226605,82.47813033886274,170.39915334509948,3738.348772366978,5384.423893340647,173876.6870868362,22814900.0,0.9999994693655948,1.0942377183168142,0.02565,0.02758,0.0083,455.79585001872925,2.0,1.4081065954315184,16526.317984725498,0.00732,0.001076,0,0.8743497089109143,73653.33611803829,0.8115245633663715,0.0,1.282426381726074,2.7,0.0283,38010.53136486864,2.3,121018.17421243798,3.183806431190526,0.316213190863037,80,0.696,80,0.0215,-0.0046133025,0.011146289966465626,-3.601240210178372,3231.7491841286414,501.4268312382698,740.7932743974859,4.128826530612245,0.9489795918367347,780.6208697952002,0.7219387755102041,-0.07959516077976315,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000.0,0.0,0.0,120,327.82048110402434,575.614125,75516.03436041599,140,180.07160010655502,42.828,7420.4182084678805,932,38305.23482050087,871,348.3,1621.10970225126,645,123946.30329784656,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3004829793503538,0.6911108525058136,0.69,0.01,0.008406168143832583,16.3,12.8,10340028.717,910563456.0,273608820.1464348,7654349.516765302,629300286.3367999,108310.13584731756,0.00113,67729.375,0.001,4731.8,9,56834.00754947099,4731800.0,59937500.0,3.439,0.06670963322284824,31620,31219,21628,194898,40.0,9120.0,487.8133020052618,1.8023333333333333,84738.26086956523,0.7128402626853951,2.3,20,0.11226845059109326,20,0.0524509648348968
2015,2061,2011,1,1,1248.3768023551097,0.007922271,84.1897985357042,172.17929813393187,3777.402969264832,5410.297375313137,175693.16136115498,22814900.0,0.9999994867420824,1.088128202270062,0.02565,0.02758,0.0083,476.1498094896533,2.0,1.4095450855594662,17264.31506488953,0.00732,0.001076,0,0.8824957303065839,73735.81424837715,0.8237435954598757,0.0,1.288180342237865,2.7,0.0283,39707.92464924592,2.3,122282.44030736385,3.079547505630871,0.31909017111893256,80,0.696,80,0.0215,0.0039611355,0.011163967086409234,3.07788003894608,3216.853883007318,501.13887837713355,737.3757709327248,4.128826530612245,0.9489795918367347,777.0196295850218,0.7219387755102041,-0.07698868764077178,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000.0,40000.0,0.1,120,336.2858102588345,575.614125,75948.8643554608,140,180.07160010655502,42.828,7420.4182084678805,932,38524.78626726273,871,348.3,1621.10970225126,645,124607.15006880804,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3004325278790606,0.6909948141218393,0.69,0.01,0.008572657999100106,16.3,12.8,10340028.717,915936256.0,275177044.7661624,7852008.271664202,632907202.9621733,111508.95457696314,0.00113,67729.375,0.001,4731.8,9,59371.9795081551,4731800.0,59937500.0,3.439,0.06674796437331511,32269,31928,22037,196048,40040.0,9160.0,485.615718953242,1.8364166666666666,85238.26086956523,0.7092316462600698,2.3,20,0.11481812647658239,20,0.05213634912727592
2016,2061,2011,1,1,1305.6055797338354,0.017920137,85.92017610520072,173.94827036403046,3816.2120539047496,5435.555494590458,177498.2350653372,22814900.0,0.9999995036695576,1.0820907261859065,0.02565,0.02758,0.0083,497.4478299528826,2.0,1.41104658991215,18036.54205775499,0.00732,0.001076,0,0.8905456984187912,73820.00404691286,0.8358185476281867,0.0,1.2941863596486005,2.7,0.0283,41484.04673283647,2.3,123538.77160547469,2.97798265441853,0.32209317982430025,80,0.696,80,0.0215,0.0089600685,0.01118241572230016,6.989727122910161,3229.6106688565255,505.1047195661053,740.2966162758063,4.128826530612245,0.9489795918367347,780.0975096239679,0.7219387755102041,-0.07444956636046325,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,440000.0,0.0,0.0,120,355.9036439406491,575.614125,76903.05649552538,140,180.07160010655502,42.828,7420.4182084678805,932,39008.796773092574,871,348.3,1621.10970225126,645,126064.97054838428,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3003161466625469,0.6907271373238579,0.69,0.01,0.008956716013595154,16.3,12.8,10340028.717,927803136.0000001,278634262.664947,8310069.205675004,640858804.1293781,115622.46368500368,0.00113,67729.375,0.001,4731.8,9,62027.66813661941,4731800.0,59937500.0,3.439,0.06622389121355705,32690,31803,22092,198588,40.0,49200.0,486.8989748762266,1.841,86342.60869565218,0.7102322482360441,2.3,20,0.1143686067506499,20,0.27718585473196083
2017,2061,2011,1,1,1365.6208306811393,0.020194947,87.67040871524542,175.7056962408592,3854.767825692319,5460.212537878266,179291.52677638695,22814900.0,0.9999995201553079,1.0761270675400274,0.02565,0.02758,0.0083,519.7368206918412,2.0,1.4126141232800564,18844.69980753594,0.00732,0.001076,0,0.8984972432799635,73905.92422301805,0.8477458649199452,0.0,1.3004564931202258,2.7,0.0283,43342.80955733266,2.3,124786.90263636531,2.8790681524994515,0.3252282465601129,80,0.696,80,0.0215,0.0100974735,0.011201672515623314,7.947592515239828,3258.5633584540565,511.57685100283294,746.9297246679557,4.128826530612245,0.9489795918367347,787.087236746878,0.7219387755102041,-0.07197670381248629,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,440000.0,0.0,0.0,120,377.5321593218201,575.614125,77620.43563155575,140,180.07160010655502,42.828,7420.4182084678805,932,39372.684740644225,871,348.3,1621.10970225126,645,127167.86616734749,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3001791160525556,0.6904119669208778,0.69,0.01,0.009408917026566668,16.3,12.8,10340028.717,936885504.0,281233462.43317306,8815077.970529094,646836963.596298,119504.61380546358,0.00113,67729.375,0.001,4731.8,9,64806.9226381161,4731800.0,59937500.0,3.439,0.0653860704103962,32757,32432,22343,200532,40.0,49240.0,486.74316994242935,1.8619166666666667,87187.82608695653,0.7092798441387123,2.3,20,0.11663059001154223,20,0.2746365145376463
2018,2061,2011,1,1,1428.5729160267447,0.03506358,89.44173566807443,177.45122364111745,3893.062559473495,5484.283499708992,181072.67718481374,22814900.0,0.9999995362066867,1.070238918855019,0.02565,0.02758,0.0083,543.0663016873461,2.0,1.4142508684224055,19690.58381752524,0.00732,0.001076,0,0.9063481081933079,73993.5946317333,0.8595221622899618,0.0,1.3070034736896223,2.7,0.0283,45288.34278030805,2.3,126026.58332063035,2.782759879997824,0.3285017368448112,80,0.696,80,0.0215,0.01753179,0.011221776131066731,13.938383669309305,3291.4825986885894,518.6566954736691,754.4718277691528,4.128826530612245,0.9489795918367347,795.0348292621179,0.7219387755102041,-0.0695689969999456,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,440000.0,0.0,0.0,120,414.94479822946266,575.614125,78371.46445110763,140,180.07160010655502,42.828,7420.4182084678805,932,39753.64138824301,871,348.3,1621.10970225126,645,128337.26427340579,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.29992918399583257,0.6898371231904148,0.69,0.01,0.010233692813752625,16.3,12.8,10340028.717,946738752.0000001,283954581.3445929,9688633.56284353,653095537.0925636,123583.00702187508,0.00113,67729.375,0.001,4731.8,9,67715.91774846929,4731800.0,59937500.0,3.439,0.06449352778421459,33077,32630,22576,202641,40.0,49280.0,487.0192675104031,1.8813333333333333,88104.78260869566,0.7087610691391999,2.3,20,0.11734262925741931,20,0.27215591422278385
2019,2061,2011,1,1,1494.6216451672205,0.028493157,91.23549529139194,179.18452236171655,3931.0890109968423,5507.784037962127,182841.34934869036,22814900.0,0.9999995518311053,1.064427887970339,0.02565,0.02758,0.0083,567.4885741108268,2.0,1.4159601870694432,20576.09043186464,0.00732,0.001076,0,0.9140961493728812,74083.03636740138,0.8711442240593218,0.0,1.313840748277773,2.7,0.0283,47325.007993288666,2.3,127257.57914668848,2.689013368254166,0.3319203741388865,80,0.696,80,0.0215,0.0142465785,0.011242767387517364,11.525100382424794,3349.205161761626,529.645636160967,767.6990694145178,4.128826530612245,0.9489795918367347,808.9732129314273,0.7219387755102041,-0.06722533420635415,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,440000.0,0.0,0.0,120,448.28419111273024,575.614125,78980.00928099095,140,180.07160010655502,42.828,7420.4182084678805,932,40062.32354832874,871,348.3,1621.10970225126,645,129287.83065625811,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.2997082823170204,0.689329049329147,0.69,0.01,0.010962668353832689,16.3,12.8,10340028.717,954793280.0,286159453.9166339,10467082.075108113,658166744.008258,127578.83065144058,0.00113,67729.375,0.001,4731.8,9,70761.17499518249,4731800.0,59937500.0,3.439,0.0631554339661057,33393,33059,22954,204365,40.0,49320.0,486.4077417000532,1.9128333333333334,88854.34782608696,0.707103896994863,2.3,20,0.11888538095681964,20,0.26974204782280153
2020,2061,2011,1,1,1563.9369910765001,0.024889588,93.05313071007782,180.90528432005704,3968.840421307373,5530.730430018842,184597.22889801738,22814900.0,0.9999995670360257,1.0586954985935264,0.02565,0.02758,0.0083,593.0589042105621,2.0,1.417745631785568,21503.22350292103,0.00732,0.001076,0,0.9217393352086315,74174.27186269277,0.8826090028129472,0.0,1.3209825271422715,2.7,0.0283,49457.41405671837,2.3,128479.67131302008,2.5977838462334084,0.33549126357113573,80,0.696,80,0.0215,0.012444794,0.01126468939916559,10.210932486538345,3396.93786298485,539.0626160172781,778.6361544713086,4.128826530612245,0.9489795918367347,820.498313313852,0.7219387755102041,-0.06494459615583521,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,440000.0,44000.0,0.1,120,479.123381187316,575.614125,79413.69203282168,140,180.07160010655502,42.828,7420.4182084678805,932,40282.307552880564,871,348.3,1621.10970225126,645,129972.33660271524,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.2995015729998177,0.6888536178995808,0.69,0.01,0.011644809100601523,16.3,12.8,10340028.717,960698688.0000001,287730768.23486114,11187152.824958345,661780766.9401807,131451.74722926068,0.00113,67729.375,0.001,4731.8,9,73949.58562654543,4731800.0,59937500.0,3.439,0.06205216055814907,33958,33611,23391,205629,44040.0,49360.0,484.7581601179679,1.94925,89403.91304347827,0.7040860655309175,2.3,20,0.12087046006653755,20,0.2673929630182555
2021,2061,2011,1,1,1636.699870449918,-0.076982318,94.89619603816789,182.61322370722792,4006.310520107551,5553.139529802916,186340.0241910489,22814900.0,0.9999995818289521,1.0530431911282,0.02565,0.02758,0.0083,619.8357218463246,2.0,1.4196109587737658,22474.10158978697,0.00732,0.001076,0,0.9292757451623999,74267.32499340284,0.8939136177435998,0.0,1.3284438350950636,2.7,0.0283,51690.433656510024,2.3,129692.65683697003,2.509026287122979,0.33922191754753184,80,0.696,80,0.0215,-0.038491159,0.011287587727649906,-31.974961662872904,3439.231076773682,547.614432351407,788.3261210146562,4.128826530612245,0.9489795918367347,830.7092458003904,0.7219387755102041,-0.06272565717807449,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,484000.0,0.0,0.0,120,392.24390733032646,575.614125,80690.34618710092,140,180.07160010655502,42.828,7420.4182084678805,932,40929.885747080174,871,348.3,1621.10970225126,645,131809.68947733712,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.30018069754317517,0.6904156043493028,0.69,0.01,0.009403698107522021,16.3,12.8,10340028.717,973934464.0,292356326.7648584,9158585.675967274,672419551.5591743,136627.94984461452,0.00113,67729.375,0.001,4731.8,9,77288.43536727739,4731800.0,59937500.0,3.439,0.06108312349688943,33934,33513,23475,208462,40.0,93400.0,486.83449821227816,1.95625,90635.65217391305,0.7073611267872143,2.3,20,0.12051803660140648,20,0.5012342378159174
2022,2061,2011,1,1,1713.1029959584525,0.052461443,96.7663630351462,184.30807709596246,4043.493528125707,5575.028725950127,188069.4664244515,22814900.0,0.9999995962174242,1.0474723237738022,0.02565,0.02758,0.0083,647.8808350648117,2.0,1.421560141710604,23490.96573839056,0.00732,0.001076,0,0.9367035683015972,74362.22118944101,0.9050553524523958,0.0,1.3362405668424167,2.7,0.0283,54029.221198298284,2.3,130896.34863141824,2.422695454946535,0.34312028342120837,80,0.696,80,0.0215,0.0262307215,0.011311510546273532,20.95137655971309,3306.870194535253,528.2600030510102,757.9825349468279,4.128826530612245,0.9489795918367347,798.7342841375174,0.7219387755102041,-0.06056738637366338,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,484000.0,0.0,0.0,120,447.1084310182663,575.614125,81211.13817050628,140,180.07160010655502,42.828,7420.4182084678805,932,41194.05559373508,871,348.3,1621.10970225126,645,132649.51583108533,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.29980696150358654,0.689556011458249,0.69,0.01,0.010637027038164458,16.3,12.8,10340028.717,981442368.0000001,294243254.24096483,10439629.004816154,676759484.754219,140964.7720054105,0.00113,67729.375,0.001,4731.8,9,80785.43117432515,4731800.0,59937500.0,3.439,0.0633210915208547,34465,34192,23445,210069,40.0,93440.0,486.07277706511195,1.95375,91334.34782608696,0.7053219129771463,2.3,20,0.12295982775267181,20,0.4968376939461108
2023,2061,2011,1,1,1793.3518084474392,0.068275126,98.66542827544846,185.98960350538445,4080.3841585364953,5596.415901338114,189785.3096993719,22814900.0,0.9999996102090082,1.0419841738916353,0.02565,0.02758,0.0083,677.2596622622583,2.0,1.4235973867108958,24556.187899284203,0.00732,0.001076,0,0.9440211014778196,74458.98755247616,0.9160316522167293,0.0,1.344389546843583,2.7,0.0283,56479.232168353665,2.3,132090.57555076282,2.3387459510254383,0.34719477342179145,80,0.696,80,0.0215,0.034137563,0.011336508817438504,27.982070882248333,3393.6322763691746,543.8369491852998,777.8649637228821,4.128826530612245,0.9489795918367347,819.6856606972306,0.7219387755102041,-0.058468648775635956,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,484000.0,0.0,0.0,120,527.9816719910632,575.614125,81767.88550839889,140,180.07160010655502,42.828,7420.4182084678805,932,41476.4636636806,871,348.3,1621.10970225126,645,133569.54447989626,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.29925677638139253,0.6882905856772028,0.69,0.01,0.012452637941404672,16.3,12.8,10340028.717,989987456.0000001,296260454.74057573,12327955.35610029,681399045.9033241,145548.09966553462,0.00113,67729.375,0.001,4731.8,9,84448.73018563837,4731800.0,59937500.0,3.439,0.06150740594236949,34691,34476,23856,211898,40.0,93480.0,485.868296990199,1.988,92129.56521739131,0.7037928525209679,2.3,20,0.12398113656999044,20,0.4925565637723823
2024,2061,2011,1,1,1877.6654978906588,0.022612374,100.59532088552683,187.65758442476533,4116.977617482096,5617.319394198124,191487.3310456789,22814900.0,0.9999996238112899,1.0365799396314346,0.02565,0.02758,0.0083,708.0414836540456,2.0,1.4257271485322678,25672.280045469382,0.00732,0.001076,0,0.9512267471580871,74557.6529807516,0.9268401207371306,0.0,1.3529085941290717,2.7,0.0283,59046.24410457958,2.3,133275.1824077925,2.2571322601272077,0.35145429706453585,80,0.696,80,0.0215,0.011306187,0.011362636484567224,9.583889887103394,3509.504759582887,564.1317496055791,804.4193779274647,4.128826530612245,0.9489795918367347,847.6677315794789,0.7219387755102041,-0.056428306503180196,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,484000.0,0.0,0.0,120,564.15231941401,575.614125,82635.82922606941,140,180.07160010655502,42.828,7420.4182084678805,932,41916.72496974535,871,348.3,1621.10970225126,645,134913.92015105448,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.2990434553916822,0.687799947400869,0.69,0.01,0.013156597207448753,16.3,12.8,10340028.717,1001209600.0,299405178.355324,13172511.427430883,688631910.2172451,150730.7162274237,0.00113,67729.375,0.001,4731.8,9,88286.97107636921,4731800.0,59937500.0,3.439,0.05929465948936051,34715,34792,23854,214300,40.0,93520.0,487.0035658976963,1.9878333333333333,93173.91304347827,0.7045579434123036,2.3,20,0.1251175224371478,20,0.4883874013455804
2025,2061,2011,1,1,1966.2781230247826,0.001935659,102.55811090894248,189.3118237986833,4153.269603746623,5637.757961019449,193175.3304068197,22814900.0,0.9999996370318673,1.0312607418125332,0.02565,0.02758,0.0083,740.2997139666913,2.0,1.427954148142386,26841.904059705994,0.00732,0.001076,0,0.9583190109166223,74658.24830163713,0.9374785163749335,0.0,1.3618165925695445,2.7,0.0283,61736.37933732378,2.3,134450.02996314652,2.177808796147889,0.3559082962847722,80,0.696,80,0.0215,0.0009678295,0.011389950679926318,0.8296734081781916,3549.2072918103813,572.2099328621723,813.5142938407363,4.128826530612245,0.9489795918367347,857.2516214665823,0.7219387755102041,-0.05444521990369723,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,484000.0,48400.0,0.1,120,570.392615025712,575.614125,83142.1669515733,140,180.07160010655502,42.828,7420.4182084678805,932,42173.56294645022,871,348.3,1621.10970225126,645,135683.33614887492,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.2990241624478989,0.6877555736301675,0.69,0.01,0.013220263921933687,16.3,12.8,10340028.717,1007409344.0,301239735.3317873,13318217.405102083,692851391.2631108,155522.46921020385,0.00113,67729.375,0.001,4731.8,9,92309.30806132892,4731800.0,59937500.0,3.439,0.058457566146544106,35457,35095,24192,215627,48440.0,93560.0,485.7347434975829,2.016,93750.86956521739,0.702384387608558,2.3,20,0.12620715825280818,20,0.48432685376008566
2026,2061,2011,1,1,2059.4398408623333,0.008866088,104.55601836684268,190.95214797613338,4189.256307639661,5657.750741446731,194849.1305878912,22814900.0,0.9999996498783421,1.0260276260536236,0.02565,0.02758,0.0083,774.1121984885135,2.0,1.4302833917857367,28067.882468764084,0.00732,0.001076,0,0.9652964985951684,74760.80641254607,0.9479447478927526,0.0,1.371133567142947,2.7,0.0283,64556.12967815739,2.3,135614.99488917226,2.100729947183585,0.36056678357147354,80,0.696,80,0.0215,0.004433044,0.011418511949926095,3.8039121357567875,3552.666827220555,574.417232478558,814.301636972987,4.128826530612245,0.9489795918367347,858.0812948747605,0.7219387755102041,-0.05251824867958963,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,532400.0,0.0,0.0,120,590.1819207182929,575.614125,84136.271390071,140,180.07160010655502,42.828,7420.4182084678805,932,42677.81882105052,871,348.3,1621.10970225126,645,137201.4857676655,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.298935365460539,0.6875513405592396,0.69,0.01,0.01351329398022141,16.3,12.8,10340028.717,1019757440.0,304841563.0075037,13780282.075237995,701135594.9172584,161256.75857774517,0.00113,67729.375,0.001,4731.8,9,96525.44781007968,4731800.0,59937500.0,3.439,0.05823293262924285,35600,35023,24178,218270,40.0,142000.0,487.45970645815424,2.0148333333333333,94900.00000000001,0.704142150153334,2.3,20,0.12594823489067106,20,0.7287689689533802
2027,2061,2011,1,1,2157.4182587390023,0.008788171,106.59142308894748,192.57840562628093,4224.934409148,5677.317225360117,196508.57716967442,22814900.0,0.9999996623583134,1.0208815651451926,0.02565,0.02758,0.0083,809.5615348651835,2.0,1.4327201917028798,29353.210111137905,0.00732,0.001076,0,0.9721579131397431,74865.36243091291,0.9582368697096146,0.0,1.380880766811519,2.7,0.0283,67512.38325561718,2.3,136769.9697100934,2.0258501198550687,0.3654403834057596,80,0.696,80,0.0215,0.0043940855,0.011448384499652083,3.787197290789412,3568.4417022916696,578.5770947314425,817.9114719589603,4.128826530612245,0.9489795918367347,861.8852070105173,0.7219387755102041,-0.05064625299637672,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,532400.0,0.0,0.0,120,605.71006157039,575.614125,84468.1717748607,140,180.07160010655502,42.828,7420.4182084678805,932,42846.174088697466,871,348.3,1621.10970225126,645,137717.26956095424,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.29884539793154546,0.6873444152425544,0.69,0.01,0.013810186825900052,16.3,12.8,10340028.717,1024088384.0,306044100.6335533,14142851.909274073,703901431.4571725,166192.78413315752,0.00113,67729.375,0.001,4731.8,9,100945.68957220326,4731800.0,59937500.0,3.439,0.05781424861889227,36105,35927,24491,219197,40.0,142040.0,485.39430111440834,2.0409166666666665,95303.04347826088,0.7008206539607831,2.3,20,0.12919916154861488,20,0.7228183219572967
2028,2061,2011,1,1,2247.254462538762,0.008711612,108.66687539895335,194.19046762368257,4260.301075417526,5696.477222318456,198153.53839151282,22814900.0,0.9999996744793695,1.0158234616589237,0.02565,0.02758,0.0083,846.7354233096233,1.988280945689617,1.4352701886732153,30701.066835011723,0.00732,0.001076,0,0.9789020511214351,74971.95385400185,0.9683530766821526,0.0,1.3910807546928619,2.7,0.0283,70612.45372052696,2.3,137914.8627204929,1.9531237827584684,0.3705403773464309,80,0.696,80,0.0215,0.004355806,0.011479636458589425,3.770701052690058,3584.148794191737,583.7078277233958,821.5054448981789,4.128826530612245,0.9489795918367347,865.6724043013068,0.7219387755102041,-0.047656189137923424,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,12000,150,0,0,0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,532400.0,0.0,0.0,120,625.969049506028,575.614125,85406.65412491075,140,180.07160010655502,42.828,7420.4182084678805,932,43322.215860461976,871,348.3,1621.10970225126,645,139152.05267070446,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.29875425475785244,0.6871347859430607,0.69,0.01,0.014110959299086933,16.3,12.8,10340028.717,1035782400.0,309444399.00329983,14615883.289110582,711722117.7075896,172262.84651630977,0.00113,67729.375,0.001,4731.8,9,105580.96884560531,4731800.0,59937500.0,3.439,0.057306067198829996,36100,35808,24765,221700,40.0,142080.0,486.8568340032133,2.06375,96391.3043478261,0.7022435925204984,2.3,20,0.12877121876952713,20,0.7170197471784611
