time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,DAILY CHOSEN RAILWAY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate 0,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentafe car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,DAILY CHOSEN BUS,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,ghg emissions,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,DAILY CHOSEN CAR,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,capture,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,Total GHG,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,business construction,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2050,2071,2021,1,1,94,400000,2,0,18.489,95.7211171875,0,40,0.0,0.0,0.0,10160,15315.37875,191.442234375,0,0,0,0,0,-0.0008816832814326119,1,142053.9789008773,1081.5994235645155,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,26901,423.61973091763736,789488.6303390625,1.756469783680668,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008192196281432612,3.91210447011552,27208.244277303456,-1.5321193155338362,0.1991,161772.6086956522,0.007310513,0.37179789578331657,2.3,0.19805902598876501,0.7748276009173736,0.7789,0.022,0.027113373093861408,20,80,0.5987890442045471,139037.28,83254,20,1737.9660000000001,1.4,0.026591769202004154,0.08102097737657885,1,1,1,142060.0364280843,16.3,8.594385839490206,67729.375,0.001,4731.8,9,372077,6.057527207016027,4731800.0,7167197.987400001,1,72470.175,809036644.8999994,160237009.87811223,21935712.39977955,1202.0770395079194,626863922.6221076,102742.99691776343,1,59937500.0,889515.076643876,1,1,1,1,1,1,0.000455,1,1,1,1,1,2786.515298419119,1036.7685347656927,1275.560961461207,2.40354609929078,0.7340425531914894,1737.7207301065716,0.5964539007092199,1.5,1035,3389,841,139.58780800099052,30489.43429980186,1.4690656560992195,21762.884432540268,1494.682687488292,382073.111526339,9232860.0,0.1,0.5830153762735127,0.0258,0.00831,0.0902,110.63307931934764,2.0,0.002138491495696504,13313.246608826432,0.0104,0.1958,0,1.4893128316353164,98670.46977601219,1.6893128316353165,0.0,0.004276982991393008,2.6,0.0671,30620.46720030079,2.3,252932.39983043645,8.260239733636457,0.9991446034017214,100,0.662,80,0.05696
2051,2071,2021,1,1,94,400000,2,0,18.489,95.7211171875,0,40,4.786055859375,0.0,0.05,10200,15315.37875,191.442234375,0,0,0,0,0,-0.0009387115589265683,1,144884.5417670725,1081.5994235645155,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,28173,421.0298318881437,789488.6303390625,1.8395235573263247,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008196168558926568,3.91210447011552,27795.68595618402,-1.629780317426208,0.1991,165086.52173913046,0.007257457,0.36932610411819816,2.3,0.1980638926213673,0.7748466396925313,0.7789,0.022,0.027089467686101307,20,80,0.6193806438100631,139037.28,86117,20,1737.9660000000001,1.4,0.026000884677275942,0.08109245467172019,1,1,1,144890.54962465327,16.3,8.60348539237659,67729.375,0.001,4731.8,9,379699,6.007857580799248,4731800.0,7167197.987400001,1,72470.175,826483904.3999999,163696619.29436997,22389009.02132664,1226.9176943686998,640398276.0843031,104961.27745021728,1,59937500.0,959104.9380719604,1,1,1,1,1,1,0.000455,1,1,1,1,1,2784.058474467047,1035.8546962235905,1274.4363206870382,2.40354609929078,0.7340425531914894,1736.1886107910377,0.5964539007092199,1.5,1035,3389,841,138.36852144992545,31305.088657670898,1.4107835243382751,22345.085838858824,1460.2760259277889,392294.3440810889,9232860.0,0.1,0.5547539310239217,0.0258,0.00831,0.0902,109.72592636580605,2.0,0.0020706297297445886,13204.082595163183,0.0104,0.1958,0,1.5269947586347712,98810.05758401318,1.7269947586347711,0.0,0.004141259459489177,2.6,0.0671,30369.38996887532,2.3,259698.85578168088,8.55133593555348,0.9991717481081022,100,0.662,80,0.05696
2052,2071,2021,1,1,94,400000,2,0,18.489,100.507173046875,0,40,0.0,0.0,0.0,10240,16081.147687499999,201.01434609375,0,0,0,0,0,-0.0009944878388220757,1,148350.33085322793,1135.6793947427414,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,29212,419.73679090712653,828963.0618560157,1.8165370138790973,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008199653838822075,3.91210447011552,28503.715428741365,-1.724997662627449,0.1991,168953.0434782609,0.007205166,0.3683758234936277,2.3,0.19806906946493746,0.7748668920454034,0.7789,0.022,0.027064038489659197,20,80,0.6424463999871114,139037.28,89324,20,1737.9660000000001,1.4,0.025427435253290973,0.08116862666323685,1,1,1,148356.28942741873,16.3,8.620505826162141,67729.375,0.001,4731.8,9,388592,5.958574190806381,4731800.0,7167197.987400001,1,72470.175,847514478.7999997,167866404.1739774,22937164.474786647,1256.9566132183081,656710910.1512357,107634.91817378753,1,59937500.0,1031525.3126966136,1,1,1,1,1,1,0.000455,1,1,1,1,1,2781.445046596337,1034.8826073959626,1273.2399925816935,2.40354609929078,0.7340425531914894,1734.5588304736116,0.5964539007092199,1.5,1035,3389,841,137.23307107239293,32136.626909481143,1.3556692928913547,22938.624921855208,1421.3043230764595,402714.6229258288,9232860.0,0.1,0.5259774888553875,0.0258,0.00831,0.0902,108.82582752879345,2.0,0.0020061948114610817,13095.767452321716,0.0104,0.1958,0,1.5653633481928166,98948.4261054631,1.7653633481928166,0.0,0.004012389622922163,2.6,0.0671,30120.265140339943,2.3,266597.0803768987,8.851086772800228,0.9991975220754156,100,0.662,80,0.05696
2053,2071,2021,1,1,94,400000,2,0,18.489,100.507173046875,0,40,0.0,0.0,0.0,10280,16081.147687499999,201.01434609375,0,0,0,0,0,-0.0010495325059451666,1,150937.71712046827,1135.6793947427414,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,30623,417.0872633411379,828963.0618560157,1.9042795076002874,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008203155505945166,3.91210447011552,29040.759101563912,-1.81866543493668,0.1991,172315.21739130435,0.007153623,0.36517136979116427,2.3,0.19807454875743036,0.7748883276100578,0.7789,0.022,0.027037123632511817,20,80,0.6640593084099459,139037.28,92329,20,1737.9660000000001,1.4,0.02487093188548102,0.08124940492338635,1,1,1,150943.62679573707,16.3,8.611317731659623,67729.375,0.001,4731.8,9,396325,5.909675268809044,4731800.0,7167197.987400001,1,72470.175,863458766.5,171029205.54513493,23345441.421436653,1279.3301898947284,669084119.5334284,109662.88719152892,1,59937500.0,1107411.4271240323,1,1,1,1,1,1,0.000455,1,1,1,1,1,2778.6789333231454,1033.8537258113743,1271.9737708931693,2.40354609929078,0.7340425531914894,1732.8338328109842,0.5964539007092199,1.5,1035,3389,841,135.9889036256449,32984.047553075194,1.3025100669350542,23543.500609312814,1383.67362240521,413333.9292365312,9232860.0,0.1,0.49889607262777486,0.0258,0.00831,0.0902,107.9327505138531,2.0,0.0019434759296085846,12988.297294085813,0.0104,0.1958,0,1.6044157094889007,99085.6591765355,1.8033117821166755,0.0,0.0038869518592171692,2.6,0.0671,29873.083776397365,2.3,273627.06115458364,9.159652321223549,0.9992226096281566,100,0.662,80,0.05696
2054,2071,2021,1,1,94,400000,2,0,18.489,100.507173046875,0,40,0.0,0.0,0.0,10320,16081.147687499999,201.01434609375,0,0,0,0,0,-0.001103668347728676,1,154316.1655996235,1135.6793947427414,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,31458,415.39933424699507,828963.0618560157,1.9562036622829195,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008206480347728676,3.91210447011552,29741.942587378697,-1.9104666496712,0.1991,176113.91304347827,0.007102812,0.36381751870476875,2.3,0.1980803255767737,0.7749109271308341,0.7789,0.022,0.02700874729239224,20,80,0.685794486198234,139037.28,95351,20,1737.9660000000001,1.4,0.0243305474733904,0.08133474375675462,1,1,1,154322.0267581329,16.3,8.62875781979055,67729.375,0.001,4731.8,9,405062,5.861158509405697,4731800.0,7167197.987400001,1,72470.175,884281020.6999999,175158672.48161775,23883322.62354497,1308.8060797702642,685239025.5948372,112310.67629499381,1,59937500.0,1185884.8789197693,1,1,1,1,1,1,0.000455,1,1,1,1,1,2775.762619459037,1032.7689757186213,1270.6387930739072,2.40354609929078,0.7340425531914894,1731.0151673760474,0.5964539007092199,1.5,1035,3389,841,134.2598106657369,33847.82035425537,1.2529251511147033,24160.04821276172,1391.6189863467653,424158.1498026988,9232860.0,0.1,0.4889562583350864,0.0258,0.00831,0.0902,107.0466532157392,2.0,0.001884965282485107,12881.667053638894,0.0104,0.1958,0,1.6441749666596546,99221.64808016115,1.833131224994741,0.0,0.003769930564970214,2.6,0.0671,29627.834223369453,2.3,280792.6951693866,9.477327740274267,0.999246013887006,100,0.662,80,0.05696
2055,2071,2021,1,1,94,400000,2,0,18.489,100.507173046875,0,40,0.0,0.0,0.0,10360,16081.147687499999,201.01434609375,0,0,0,0,0,-0.0011569986420322574,1,158012.6064458415,1135.6793947427414,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,32920,414.0502909043475,828963.0618560157,2.047117571439815,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008209716642032258,3.91210447011552,30509.126810384187,-2.0005717906720104,0.1991,180129.13043478262,0.007052718,0.36304912050557503,2.3,0.19808639399402334,0.7749346674130828,0.7789,0.022,0.026978938592893822,20,80,0.7078245489267339,139037.28,98414,20,1737.9660000000001,1.4,0.02380309377231175,0.08142458354230885,1,1,1,158018.41946820464,16.3,8.653765776725391,67729.375,0.001,4731.8,9,414297,5.813022363136293,4731800.0,7167197.987400001,1,72470.175,907062987.5999999,179676836.33912948,24471596.64234721,1341.043496000627,702914554.6185232,115207.69550197596,1,59937500.0,1267736.7306779022,1,1,1,1,1,1,0.000455,1,1,1,1,1,2772.699098115132,1031.62947043325,1269.2364292565953,2.40354609929078,0.7340425531914894,1729.1047007263762,0.5964539007092199,1.5,1035,3389,841,133.50929025262087,34731.95576625704,1.213822770312739,24791.130331403514,1398.2775243981512,435237.54093053925,9232860.0,0.1,0.4787893801242472,0.0258,0.00831,0.0902,106.16750733552217,2.0,0.0018412594191893894,12775.87332557427,0.0104,0.1958,0,1.6848424795030112,99355.90789082689,1.8636318596272583,0.0,0.003682518838378779,2.6,0.0671,29384.508648820818,2.3,288127.252096017,9.805413306020327,0.9992634962323242,100,0.662,80,0.05696
2056,2071,2021,1,1,94,400000,2,0,18.489,100.507173046875,0,40,5.02535865234375,0.0,0.05,10400,16081.147687499999,201.01434609375,0,0,0,0,0,-0.0012094107914237132,1,161020.61482935908,1135.6793947427414,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,34052,411.65486449276796,828963.0618560157,2.117510557189204,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008212735791423714,3.91210447011552,31133.51607934749,-2.088778371447293,0.1991,183754.34782608697,0.007003325,0.36056658365925826,2.3,0.19809274862176088,0.7749595273806608,0.7789,0.022,0.02694772399757837,20,80,0.7359896568747605,139037.28,102330,20,1737.9660000000001,1.4,0.02328827569085001,0.08151887350270755,1,1,1,161026.38009779574,16.3,8.656372283412399,67729.375,0.001,4731.8,9,422635,5.765268436659123,4731800.0,7167197.987400001,1,72470.175,925596932.6999997,183354040.51441395,24942730.675404713,1366.861641012178,717300161.5101811,117565.49647151868,1,59937500.0,1353284.975146107,1,1,1,1,1,1,0.000455,1,1,1,1,1,2769.4910890238484,1030.4362215850547,1267.7679244315275,2.40354609929078,0.7340425531914894,1727.1041289357042,0.5964539007092199,1.5,1035,3389,841,132.22004210200595,35636.81618240532,1.1710332198803624,25437.00563596249,1403.5613801347756,446576.6438897909,9232860.0,0.1,0.4683956833888654,0.0258,0.00831,0.0902,105.29534221678529,2.0,0.001791065123031288,12670.91964100906,0.0104,0.1958,0,1.7264172664445385,99489.41718107951,1.8948129498334039,0.0,0.003582130246062576,2.6,0.0671,29143.11517432084,2.3,295633.7382550416,10.144205123120683,0.9992835739507875,100,0.662,80,0.05696
2057,2071,2021,1,1,94,400000,2,0,18.489,105.53253169921875,0,40,0.0,0.0,0.0,10440,16885.205071875,211.0650633984375,0,0,0,0,0,-0.0012603710139698077,1,164299.02456574375,1192.4633644798785,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,35097,409.62875336508114,870411.2149488165,2.078565220298073,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008214991013969808,3.91210447011552,31802.25282239361,-2.174159346504156,0.1991,187602.6086956522,0.00695462,0.35859055151718416,2.3,0.19809938342938868,0.7749854834412399,0.7789,0.022,0.026915133129371393,20,80,0.7577536039255083,139037.28,105356,20,1737.9660000000001,1.4,0.02278580391900853,0.08161755408516744,1,1,1,164304.7424576198,16.3,8.660637193327245,67729.375,0.001,4731.8,9,431486,5.717891876065531,4731800.0,7167197.987400001,1,72470.175,945446756.0999999,187292419.4487256,25446825.307163823,1394.4860268325774,732707511.3441104,120090.7611092997,1,59937500.0,1441841.1802439026,1,1,1,1,1,1,0.000455,1,1,1,1,1,2766.141636614032,1029.190361577688,1266.2346722226994,2.40354609929078,0.7340425531914894,1725.015350564257,0.5964539007092199,1.5,1035,3389,841,131.2616626854213,36562.76526214621,1.1324089799977015,26097.93370090035,1407.3596471112746,458180.0158163685,9232860.0,0.1,0.45776905520157113,0.0258,0.00831,0.0902,104.43006920902101,2.0,0.0017463410428247839,12566.795332012156,0.0104,0.1958,0,1.7689237791937156,99621.63722318152,1.9266928343952867,0.0,0.0034926820856495677,2.6,0.0671,28903.629263627958,2.3,303315.170470436,10.494016779135928,0.9993014635828701,100,0.662,80,0.05696
2058,2071,2021,1,1,94,400000,2,0,18.489,105.53253169921875,0,40,0.0,0.0,0.0,10480,16885.205071875,211.0650633984375,0,0,0,0,0,-0.0013109940396515756,1,167963.94322543716,1192.4633644798785,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,36638,408.4306079761763,870411.2149488165,2.1698285477756163,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008217581039651575,3.91210447011552,32562.989885123912,-2.2586345329526942,0.1991,191902.6086956522,0.006906587,0.3573304001455352,2.3,0.19810628944163658,0.7750125004826255,0.7789,0.022,0.026881210075737995,20,80,0.7820132844946334,139037.28,108729,20,1737.9660000000001,1.4,0.022295395795149903,0.08172052241724086,1,1,1,167969.6141168778,16.3,8.668802109765826,67729.375,0.001,4731.8,9,441376,5.670891440661325,4731800.0,7167197.987400001,1,72470.175,968028903.6000003,191772614.16445178,26021788.31705793,1425.9939997747745,750234501.1184906,122963.43473332061,1,59937500.0,1533675.7477015224,1,1,1,1,1,1,0.000455,1,1,1,1,1,2762.6552718747084,1027.8935757547022,1264.6387467449463,2.40354609929078,0.7340425531914894,1722.8411912177528,0.5964539007092199,1.5,1035,3389,841,129.69954270406183,37510.16612057311,1.0932940371230733,26774.17371212837,1409.5675604171483,470052.2070247256,9232860.0,0.1,0.446907126476152,0.0258,0.00831,0.0902,103.57166565251782,2.0,0.0016999938134912296,12463.497671783132,0.0104,0.1958,0,1.812371494095392,99752.89888586693,1.953092873523848,0.0,0.003399987626982459,2.6,0.0671,28666.044645101203,2.3,311174.56105036836,10.855162088207575,0.9993200024746035,100,0.662,80,0.05696
2059,2071,2021,1,1,94,400000,2,0,18.489,105.53253169921875,0,40,0.0,0.0,0.0,10520,16885.205071875,211.0650633984375,0,0,0,0,0,-0.0013606758021902704,1,171294.2514638515,1192.4633644798785,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,37759,406.4330310401589,870411.2149488165,2.236218028698605,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.00821988880219027,3.91210447011552,33254.337475760556,-2.3411550505516767,0.1991,195900.00000000003,0.006859213,0.3552365091440365,2.3,0.19811346378135233,0.7750405672490976,0.7789,0.022,0.02684596896955008,20,80,0.8083659289077002,139037.28,112393,20,1737.9660000000001,1.4,0.021816774610115313,0.08182776700772583,1,1,1,171299.8757276331,16.3,8.67189138202721,67729.375,0.001,4731.8,9,450570,5.624263781576321,4731800.0,7167197.987400001,1,72470.175,988545407.3000001,195844154.74535075,26538459.32936705,1454.3075712493142,766162793.2252823,125574.08180962376,1,59937500.0,1629175.1868184002,1,1,1,1,1,1,0.000455,1,1,1,1,1,2759.0334472796685,1026.546404377246,1262.9808128856512,2.40354609929078,0.7340425531914894,1720.5825566848,0.5964539007092199,1.5,1035,3389,841,127.94112926934864,38479.381806088284,1.0621764778752554,27465.98480795474,1410.0621537517454,482197.7669935875,9232860.0,0.1,0.43580332677882155,0.0258,0.00831,0.0902,102.72007038439389,2.0,0.001665300810785031,12361.019300167738,0.0104,0.1958,0,1.8567866928847139,99882.598428571,1.9641966732211784,0.0,0.003330601621570062,2.6,0.0671,28430.344390385795,2.3,319214.9217497549,11.227965351615751,0.999333879675686,100,0.662,80,0.05696
2060,2071,2021,1,1,94,400000,2,0,18.489,105.53253169921875,0,40,0.0,0.0,0.0,10560,16885.205071875,211.0650633984375,0,0,0,0,0,-0.0014097953192238142,1,174619.2793555446,1192.4633644798785,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,38888,403.5697073371301,870411.2149488165,2.303081297175014,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008222280319223814,3.91210447011552,33944.62159580084,-2.4223686853205293,0.1991,199533.0434782609,0.006812485,0.35303636424245854,2.3,0.1981209002397146,0.7750696594510985,0.7789,0.022,0.026809440309186864,20,80,0.838393846599991,139037.28,116568,20,1737.9660000000001,1.4,0.021349670094615397,0.08193922734133002,1,1,1,174624.85736498443,16.3,8.690400848938612,67729.375,0.001,4731.8,9,458926,5.578009439848855,4731800.0,7167197.987400001,1,72470.175,1009027477.7000004,199909432.24853262,27051461.93372754,1482.420113968269,782066583.5177402,128180.71303855763,1,59937500.0,1728004.8875460334,1,1,1,1,1,1,0.000455,1,1,1,1,1,2755.2792972305215,1025.1500133151794,1261.262305454927,2.40354609929078,0.7340425531914894,1718.2414016342484,0.5964539007092199,1.5,1035,3389,841,127.38926359008593,39470.77384640873,1.0415365391162,28173.625041246127,1408.719934283386,494621.2261454728,9232860.0,0.1,0.4244527877413089,0.0258,0.00831,0.0902,101.87529328603073,2.0,0.0016464818990677421,12259.36140626122,0.0104,0.1958,0,1.9021888490347645,100010.53955784035,1.975547212258691,0.0,0.0032929637981354842,2.6,0.0671,28196.5312344008,2.3,327439.251708303,11.612749418936152,0.9993414072403729,100,0.662,80,0.05696
2061,2071,2021,1,1,94,400000,2,0,18.489,105.53253169921875,0,40,5.276626584960938,0.0,0.05,10600,16885.205071875,211.0650633984375,0,0,0,0,0,-0.0014576814781634756,1,178567.68502389768,1192.4633644798785,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,40389,402.4626961449763,870411.2149488165,2.391975686885457,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008224070478163476,3.91210447011552,34764.27583085125,-2.501117624210018,0.1991,204099.13043478262,0.006766389,0.35197742605173427,2.3,0.1981285946655333,0.7750997608487387,0.7789,0.022,0.026771644485727962,20,80,0.858891946102513,139037.28,119418,20,1737.9660000000001,1.4,0.02089381802563588,0.0820548742662901,1,1,1,178573.2171539782,16.3,8.700792879845254,67729.375,0.001,4731.8,9,469428,5.532130080529009,4731800.0,7167197.987400001,1,72470.175,1033352137.3999995,204736606.77768695,27664536.0510399,1516.0165755969865,800950994.5712725,131275.86801023156,1,59937500.0,1830159.5699110178,1,1,1,1,1,1,0.000455,1,1,1,1,1,2751.394917374131,1023.7051820638641,1259.484183760383,2.40354609929078,0.7340425531914894,1715.8190329489278,0.5964539007092199,1.5,1035,3389,841,126.026378743958,40484.70217181652,1.0146629985766924,28897.351324644973,1405.4346167558456,507327.09488491877,9232860.0,0.1,0.41285739574031904,0.0258,0.00831,0.0902,101.03736476746387,2.0,0.0016173020424153917,12158.527649514304,0.0104,0.1958,0,1.948570417038724,100137.92882143044,1.987142604259681,0.0,0.0032346040848307833,2.6,0.0671,27964.6135938829,2.3,335850.53681381623,12.009840067566019,0.9993530791830338,100,0.662,80,0.05696
2062,2071,2021,1,1,94,400000,2,0,18.489,110.80915828417969,0,40,0.0,0.0,0.0,10640,17729.46532546875,221.61831656835938,0,0,0,0,0,-0.0015041285340081628,1,182291.136130691,1252.0865327038725,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,42073,400.14893854622,913931.7756962574,2.3730552065527464,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.008225041534008163,3.91210447011552,35524.92221037022,-2.577050364267289,0.1991,208124.34782608697,0.006720913,0.3503443612580683,2.3,0.1981365392299342,0.7751308408146447,0.7789,0.022,0.02673261995542114,20,80,0.8902072882898745,139037.28,123772,20,1737.9660000000001,1.4,0.02044895919192336,0.08217462379764034,1,1,1,182296.62275044224,16.3,8.718858500144144,67729.375,0.001,4731.8,9,478686,5.486619751224165,4731800.0,7167197.987400001,1,72470.175,1055919661.4999999,209216267.43445358,28227499.014336433,1546.8669459856364,818475895.0512099,134148.1991988933,1,59937500.0,1936262.612064996,1,1,1,1,1,1,0.000455,1,1,1,1,1,2747.384259963962,1022.2133807007714,1257.6482569936757,2.40354609929078,0.7340425531914894,1713.3179153247177,0.5964539007092199,1.5,1035,3389,841,125.2405633700388,41521.526451837926,0.9928644058788353,29637.420384670273,1400.063191836615,520319.88034884614,9232860.0,0.1,0.4010095340248101,0.0258,0.00831,0.0902,100.20617611576442,2.0,0.0015956835724534324,12058.504947745418,0.0104,0.1958,0,1.9959618639007597,100263.9552001744,1.99899046597519,0.0,0.003191367144906865,2.6,0.0671,27734.56137981446,2.3,344451.7607909362,12.419585659704438,0.9993617265710186,100,0.662,80,0.05696
