time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,DAILY CHOSEN RAILWAY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate 0,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentafe car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,DAILY CHOSEN BUS,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,ghg emissions,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,DAILY CHOSEN CAR,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,capture,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,Total GHG,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,business construction,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.05,1,82413.42197298408,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,91670,381.728318276353,618585.0,7.639166666666667,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,14910.51447838656,70.5,0.1991,63161.739130434784,0.05,0.4974403016326186,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.6593195724197136,139037.28,91670,20,1737.9660000000001,1.4,0.05432322317790855,0.09984568766356959,1,1,1,82420.75566298408,16.3,12.0,67729.375,0.001,4731.8,9,145272,7.33369,4731800.0,7167197.987400001,1,72470.175,441045792.0,87812217.1872,9703007.423999999,531.7248068352,343530567.38879997,56304.65999502431,1,59937500.0,300.0,1,1,1,1,1,1,0.000455,1,1,1,1,1,2261.0,841.2982269503547,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,1.5,1035,3389,841,10252.369841170972,13220.865000000002,373.4008745069242,9436.848,1232.6636443989873,165675.0,9232860.0,0.1,1.1088303073022072,0.0258,0.00831,0.0902,133.94057999999998,2.0,0.44896705896114536,16118.0,0.0104,0.1958,0,0.854892923597057,74537.0,0.7823393853955855,0.0,0.8979341179222907,2.6,0.0671,37071.399999999994,2.3,109676.85,2.958530025842024,0.8204131764155419,100,0.662,80,0.05696
2022,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.052461443,1,72643.24583977234,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6298,463.03555681755967,618585.0,0.5248333333333334,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,12875.182624008188,77.6691663615,0.1991,78955.21739130435,0.052461443,0.4255816426760107,2.3,0.19887606339468303,0.778023936605317,0.7789,0.022,0.0231,20,80,0.2348650664052116,139037.28,32655,20,1737.9660000000001,1.4,0.052960987705270655,0.09509273629268393,1,1,1,72650.68848420634,16.3,8.298584227713013,67729.375,0.001,4731.8,9,181597,7.44264443400065,4731800.0,7167197.987400001,1,72470.175,381270494.0,75825574.93526612,8807348.4114,482.64269294471995,296637570.6533339,48618.89783008143,1,59937500.0,10250.58066298408,1,1,1,1,1,1,0.000455,1,1,1,1,1,2374.0499999999997,883.3482269503547,1086.75,2.40354609929078,0.7340425531914894,1480.5,0.5964539007092199,1.5,1035,3389,841,4934.384877127528,13621.196115423041,186.0264663768143,9722.598129504966,1339.2366625534328,170691.680644399,9232860.0,0.1,1.1692905915741272,0.0258,0.00831,0.0902,135.93049504735254,2.0,0.22039876681105025,16357.460294506924,0.0104,0.1958,0,0.7742792112344971,84789.36984117098,0.674279211234497,0.0,0.4407975336221005,2.6,0.0671,37622.15867736592,2.3,112997.89258659213,3.0034930625757377,0.9118404932755799,100,0.662,80,0.05696
2023,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.08313182624239507,1,74751.1964331847,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6327,462.5037270539025,618585.0,0.52725,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2148567002423951,61.1,0.65,0.00113,0.014856700242395066,3.91210447011552,13307.52082048438,129.53344839422178,0.1991,81286.95652173914,0.068275126,0.4248928686510965,2.3,0.19862935460811856,0.7770587860585814,0.7789,0.022,0.0243118593333,20,80,0.239144494196089,139037.28,33250,20,1737.9660000000001,1.4,0.051611578562496985,0.09035422364722769,1,1,1,74758.66187128566,16.3,8.341551133932388,67729.375,0.001,4731.8,9,186960,7.465438100955555,4731800.0,7167197.987400001,1,72470.175,394562709.1999998,78371736.28082673,9592553.084236149,525.671909016141,306598419.8349369,50251.48101094616,1,59937500.0,10431.094147190423,1,1,1,1,1,1,0.000455,1,1,1,1,1,2521.7453409857253,929.6743041915047,1143.76247318025,2.40354609929078,0.7340425531914894,1558.1691663615,0.5964539007092199,1.5,1035,3389,841,2577.7792436628497,14039.175320371067,94.95364628263339,10020.945191081903,1398.153821199917,175929.5152928705,9232860.0,0.1,1.1843872611940045,0.0258,0.00831,0.0902,136.34679256910036,2.0,0.11215484583121635,16407.556265836385,0.0104,0.1958,0,0.7541503184079941,89723.7547182985,0.654150318407994,0.0,0.2243096916624327,2.6,0.0671,37737.37941142368,2.3,116465.33912388027,3.0862063275285205,0.9551380616675135,100,0.662,80,0.05696
2024,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.025674950367450176,1,76888.94543030096,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6482,463.7606935194018,618585.0,0.5401666666666667,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.20306257636745018,61.1,0.65,0.00113,0.0030625763674501736,3.91210447011552,13741.811556587778,43.33168086886904,0.1991,84020.0,0.022612374,0.4239905382537424,2.3,0.19821790381792845,0.7754491475830461,0.7789,0.022,0.026332948599025446,20,80,0.24374757618963777,139037.28,33890,20,1737.9660000000001,1.4,0.05029063264210509,0.08342146921140917,1,1,1,76896.39203452035,16.3,8.350882812580858,67729.375,0.001,4731.8,9,193246,7.446604219395213,4731800.0,7167197.987400001,1,72470.175,408284999.1000001,80929396.68190682,10751347.895053452,589.1738646489291,316604254.5230398,51891.43731632623,1,59937500.0,12719.581018476078,1,1,1,1,1,1,0.000455,1,1,1,1,1,2711.4776627976225,1006.9350347585547,1238.8455363632424,2.40354609929078,0.7340425531914894,1687.7026147557217,0.5964539007092199,1.5,1035,3389,841,1361.1830999294918,14471.402759620096,48.504713316758775,10329.46242090176,1439.8228721795685,181345.89924335957,9232860.0,0.1,1.1832562543219616,0.0258,0.00831,0.0902,136.00281552345982,2.0,0.05743642032049137,16366.163119549918,0.0104,0.1958,0,0.7556583275707177,92301.53396196135,0.6556583275707176,0.0,0.11487284064098274,2.6,0.0671,37642.17517496481,2.3,120050.98529910404,3.189268014961791,0.9770254318718035,100,0.662,80,0.05696
2025,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,-0.0005871509551092708,1,79591.20533067545,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6447,466.2522747130298,618585.0,0.53725,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.0025228099551092707,3.91210447011552,14299.200373226842,-1.0163784400028821,0.1991,87074.34782608696,0.001935659,0.42578612649239106,2.3,0.19808026481769506,0.7749106894349709,0.7789,0.022,0.02700904574733404,20,80,0.24456030785412372,139037.28,34003,20,1737.9660000000001,1.4,0.04900291310410794,0.08133384525234862,1,1,1,79598.61212325834,16.3,8.390624204203304,67729.375,0.001,4731.8,9,200271,7.406792582891164,4731800.0,7167197.987400001,1,72470.175,425140871.09999996,84212016.33231355,11482649.236601343,629.2491781657536,329446205.5310851,53996.233086544846,1,59937500.0,17145.798052996426,1,1,1,1,1,1,0.000455,1,1,1,1,1,2775.7932924873758,1032.7803848370786,1270.6528340223058,2.40354609929078,0.7340425531914894,1731.0342956245906,0.5964539007092199,1.5,1035,3389,841,742.4261731636994,14916.82746384975,25.468168409028312,10647.399653394506,1472.9089025089977,186927.6624542575,9232860.0,0.1,1.1743019764529803,0.0258,0.00831,0.0902,135.27570629412213,2.0,0.03032000195887566,16278.665017343217,0.0104,0.1958,0,0.7675973647293596,93662.71706189084,0.6675973647293595,0.0,0.06064000391775132,2.6,0.0671,37440.929539889396,2.3,123746.11254471846,3.3051025726506045,0.9878719992164497,100,0.662,80,0.05696
2026,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.0035198072885373917,1,81713.5772997679,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6641,465.46027312195895,618585.0,0.5534166666666667,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.005346280711462608,3.91210447011552,14739.591503360425,6.089329674206589,0.1991,89599.13043478262,0.008866088,0.42411157758321905,2.3,0.19808349324801525,0.7749233193916579,0.7789,0.022,0.026993187360326902,20,80,0.2533996637448604,139037.28,35232,20,1737.9660000000001,1.4,0.04775003913305235,0.08138161474721262,1,1,1,81720.93412992105,16.3,8.405185900484277,67729.375,0.001,4731.8,9,206078,7.356830153153446,4731800.0,7167197.987400001,1,72470.175,438227346.6999997,86805603.67114502,11829152.875892026,648.237577598883,339592590.1529627,55659.225526070586,1,59937500.0,24274.235176254762,1,1,1,1,1,1,0.000455,1,1,1,1,1,2774.1634828045053,1032.174161951942,1269.9067689971973,2.40354609929078,0.7340425531914894,1730.0179171845878,0.5964539007092199,1.5,1035,3389,841,435.82033630031,15375.065933544294,14.359382586955293,10974.483152564948,1501.325276079508,192669.99916722171,9232860.0,0.1,1.161283300139913,0.0258,0.00831,0.0902,134.363205654297,2.0,0.017211024874693476,16168.857479458124,0.0104,0.1958,0,0.7849555998134492,94405.14323505454,0.6849555998134491,0.0,0.03442204974938695,2.6,0.0671,37188.37220275368,2.3,127547.53944870079,3.4297693578332074,0.9931155900501226,100,0.662,80,0.05696
2027,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.0020426831010779993,1,83837.3581941287,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,6778,464.9909686065132,618585.0,0.5648333333333333,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.006745487898922,3.91210447011552,15179.695088224053,3.5463169348175096,0.1991,92253.04347826088,0.008788171,0.42220150557066016,2.3,0.19806415106622946,0.774847650755832,0.7789,0.022,0.027088198177938637,20,80,0.2665184474264744,139037.28,37056,20,1737.9660000000001,1.4,0.04653226193554015,0.08109625403452905,1,1,1,83844.66042254235,16.3,8.407955905779001,67729.375,0.001,4731.8,9,212182,7.302228413657806,4731800.0,7167197.987400001,1,72470.175,451356275.70000005,89397497.57493553,12226428.24501791,670.0082678269814,349732349.88004667,57321.132145339645,1,59937500.0,33524.99430617581,1,1,1,1,1,1,0.000455,1,1,1,1,1,2783.9280036508753,1035.806166388827,1274.3765960984767,2.40354609929078,0.7340425531914894,1736.1072468587943,0.5964539007092199,1.5,1035,3389,841,289.7327193156404,15846.03819649759,9.125690341052346,11310.65583549502,1527.0008056235597,198571.90722428056,9232860.0,0.1,1.1460377910958042,0.0258,0.00831,0.0902,133.3659738846074,2.0,0.011019756785149437,16048.853656390782,0.0104,0.1958,0,0.8052829452055945,94840.96357135485,0.7079244178083917,0.0,0.022039513570298874,2.6,0.0671,36912.363409698795,2.3,131454.60258247374,3.561262147411937,0.9955920972859402,100,0.662,80,0.05696
2028,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.0012897008835341828,1,85729.41732395696,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,7215,462.8947733897004,618585.0,0.60125,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.007421911116465818,3.91210447011552,15571.913844689869,2.243632738268011,0.1991,94643.04347826088,0.008711612,0.4189396467238734,2.3,0.1980528865247293,0.7748035826926754,0.7789,0.022,0.027143530782595363,20,80,0.27589722698833,139037.28,38360,20,1737.9660000000001,1.4,0.04534919334522429,0.08093098527606046,1,1,1,85736.6630230416,16.3,8.407871682615225,67729.375,0.001,4731.8,9,217679,7.245699084645488,4731800.0,7167197.987400001,1,72470.175,463044926.2999999,91707384.24434552,12568674.210748648,688.7633467490259,358768867.84490573,58802.21743978005,1,59937500.0,44899.47972871816,1,1,1,1,1,1,0.000455,1,1,1,1,1,2789.61468633855,1037.92138095775,1276.9797436357362,2.40354609929078,0.7340425531914894,1739.6535637936117,0.5964539007092199,1.5,1035,3389,841,223.8136235039239,16329.816373194355,6.662190999737913,11655.969180666043,1550.9044516542117,204634.29039090668,9232860.0,0.1,1.1294944793867217,0.0258,0.00831,0.0902,132.33353712836046,2.0,0.008107715123384929,15924.613372847227,0.0104,0.1958,0,0.8273406941510378,95130.69629067049,0.7410110412265567,0.0,0.016215430246769857,2.6,0.0671,36626.61075754862,2.3,135467.90023878022,3.6986195947944966,0.996756913950646,100,0.662,80,0.05696
2029,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.0008949954501137102,1,88100.5749577524,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,7393,462.1416811601415,618585.0,0.6160833333333333,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.007741380549886289,3.91210447011552,16063.61876257325,1.5589900654618596,0.1991,97365.65217391305,0.008636376,0.41781739169189397,2.3,0.19804575983680042,0.7747757023449717,0.7789,0.022,0.02717853781822791,20,80,0.285153737184732,139037.28,39647,20,1737.9660000000001,1.4,0.04420014389731057,0.08082677286773755,1,1,1,88107.76347637456,16.3,8.431134539901135,67729.375,0.001,4731.8,9,223941,7.188518622156965,4731800.0,7167197.987400001,1,72470.175,477683405.1,94603172.92445965,12982736.490650235,711.4539596876328,370097495.68489015,60658.9795427535,1,59937500.0,58165.96775175976,1,1,1,1,1,1,0.000455,1,1,1,1,1,2793.212454864241,1039.2596044562488,1278.6266655393586,2.40354609929078,0.7340425531914894,1741.8971965318797,0.5964539007092199,1.5,1035,3389,841,192.9915860701343,16826.55155440012,5.431313969150561,12010.53103431868,1573.4989080254297,210859.0420350892,9232860.0,0.1,1.1121201166183492,0.0258,0.00831,0.0902,131.2892082420316,2.0,0.006662346281159082,15798.942026718605,0.0104,0.1958,0,0.8505065111755343,95354.50991417441,0.7757597667633014,0.0,0.013324692562318163,2.6,0.0671,36337.56666145279,2.3,139588.68582722906,3.841442855206537,0.9973350614875364,100,0.662,80,0.05696
2030,2071,2021,1,1,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.0006707851003667116,1,90208.45907642758,847.4614499999999,20,358359.89937000006,5518742.450298001,16.3,1,1,0.18,0.05,0.77,1,7666,461.03778537167403,618585.0,0.6388333333333334,490.95306213690003,1767.43102369284,1290095.637732,80,1,7560.677156908261,1,1,1,1,10,1,1,1,0.2,61.1,0.65,0.00113,-0.007891641899633288,3.91210447011552,16500.757789323685,1.169484433111662,0.1991,100078.69565217392,0.008562427,0.4152315599645972,2.3,0.1980408078517936,0.7747563296622905,0.7789,0.022,0.02720286248591597,20,80,0.2967693269028278,139037.28,41262,20,1737.9660000000001,1.4,0.04308428988877642,0.08075451868102546,1,1,1,90215.59032970785,16.3,8.426001277255724,67729.375,0.001,4731.8,9,230181,7.131253280262804,4731800.0,7167197.987400001,1,72470.175,490694866.1999999,97177607.71097575,13348304.967783533,731.4871122345376,380168953.52124065,62309.69148213134,1,59937500.0,73803.55622813432,1,1,1,1,1,1,0.000455,1,1,1,1,1,2795.712367302545,1040.1894701619603,1279.7710305874102,2.40354609929078,0.7340425531914894,1743.4561865973415,0.5964539007092199,1.5,1035,3389,841,178.88904754519197,17336.43520476305,4.76317428099561,12374.478060943648,1594.937708044897,217248.56146319606,9232860.0,0.1,1.0941183360710982,0.0258,0.00831,0.0902,130.24332914062396,2.0,0.0058896882265799255,15673.084132445723,0.0104,0.1958,0,0.8745088852385358,95547.50150024454,0.8117633278578036,0.0,0.011779376453159851,2.6,0.0671,36048.09350462516,2.3,143818.5476886358,3.989629789164387,0.997644124709368,100,0.662,80,0.05696
